yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",78927717,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Qatar,Australia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",196099,25.3336984,51.2295295,-24.7761086,134.755
2016,2016,Import,Qatar,Bahrain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",67325,25.3336984,51.2295295,26.1551249,50.5344606
2016,2016,Import,Qatar,Belgium,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",800562,25.3336984,51.2295295,50.6402809,4.6667145
2016,2016,Import,Qatar,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2133624,25.3336984,51.2295295,-10.3333333,-53.2
2016,2016,Import,Qatar,Myanmar,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",269429,25.3336984,51.2295295,,
2016,2016,Import,Qatar,Canada,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",17753,25.3336984,51.2295295,61.0666922,-107.991707
2016,2016,Import,Qatar,Sri Lanka,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15600,25.3336984,51.2295295,7.5554942,80.7137847
2016,2016,Import,Qatar,Chile,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",35698,25.3336984,51.2295295,-31.7613365,-71.3187697
2016,2016,Import,Qatar,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",434202,25.3336984,51.2295295,35.000074,104.999927
2016,2016,Import,Qatar,Denmark,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",254926,25.3336984,51.2295295,55.670249,10.3333283
2016,2016,Import,Qatar,France,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1713838,25.3336984,51.2295295,46.603354,1.8883335
2016,2016,Import,Qatar,Germany,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",47673,25.3336984,51.2295295,51.1638175,10.4478313
2016,2016,Import,Qatar,Greece,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",31099,25.3336984,51.2295295,38.9953683,21.9877132
2016,2016,Import,Qatar,Indonesia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",481214,25.3336984,51.2295295,-2.4833826,117.8902853
2016,2016,Import,Qatar,Ireland,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",45704,25.3336984,51.2295295,52.865196,-7.9794599
2016,2016,Import,Qatar,Italy,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1309475,25.3336984,51.2295295,42.6384261,12.674297
2016,2016,Import,Qatar,Japan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",443040,25.3336984,51.2295295,36.5748441,139.2394179
2016,2016,Import,Qatar,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2818800,25.3336984,51.2295295,31.1667049,36.941628
2016,2016,Import,Qatar,Rep. of Korea,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",47222,25.3336984,51.2295295,,
2016,2016,Import,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1757422,25.3336984,51.2295295,29.2733964,47.4979476
