yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1722,,,51.67568633314729,27.673469819741847
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1600,,,17.925141963241547,-78.01492950057497
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3367979,,,43.897683433510366,-100.08947125585888
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,54853,,,59.36075159783851,25.01346951967388
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,2598,,,10.528384761701911,103.08333472012376
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,14188,,,25.499703063807168,75.5024015339642
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,27252,,,40.12399607988535,20.742583178432696
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,740,,,6.06272746187266,22.727528470146083
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1433438,,,26.42921218083572,52.86847103284948
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,46498,,,47.92172048214207,7.866753258497997
2006,2006,Export,Syria,4,Dairy produce; birds eggs; natural honey;,World,World,123975624,,,,
