yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,5446,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,504090,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,11031,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,22331,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,38787,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,177910,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,25451,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,84065,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2628467,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,12831936,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,3268,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1024214,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,14735,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,28552647,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,435080,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,396644,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,48966,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Azerbaijan, Azerbaijan,358475,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,476925,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Comoros, Comoros,26328,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,902,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,371337,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,391721,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,470783,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,590374,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,296824,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,344476,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,1880,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,26011,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1361,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,1734634,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,751021,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,411869,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,252974,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,582142,24.0002488,53.9994829,,
