yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1019496,31.46242095,34.262716572130714,37.977378106878206,73.97804075806764
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,510,31.46242095,34.262716572130714,51.67568633314729,27.673469819741847
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,31830,31.46242095,34.262716572130714,17.925141963241547,-78.01492950057497
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,18285,31.46242095,34.262716572130714,19.569604022535763,12.47761721199581
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,13106,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,4190,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,9516,31.46242095,34.262716572130714,10.528384761701911,103.08333472012376
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,828451,31.46242095,34.262716572130714,40.12399607988535,20.742583178432696
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,451,31.46242095,34.262716572130714,6.06272746187266,22.727528470146083
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,985837,31.46242095,34.262716572130714,26.42921218083572,52.86847103284948
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,774804,31.46242095,34.262716572130714,47.92172048214207,7.866753258497997
2018,2018,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9573533,31.46242095,34.262716572130714,,
