yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,50615204,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,18102650,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,44705856,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,82009881,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,4143207,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,106832642,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,16953842,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,27330814,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,6438646,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,106097359,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,8456891,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1876424,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,46847803,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2005,2005,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,584676737,31.1728205,-7.3362482,,
