yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Export,Oman,World,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",13311609.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2021,2021.0,Export,Oman,Bahrain,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",45230.0,,21.0000287,57.0036901,26.1551249,50.5344606
2021,2021.0,Export,Oman,France,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4210.0,,21.0000287,57.0036901,46.603354,1.8883335
2021,2021.0,Export,Oman,"China, Hong Kong SAR",16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",164626.0,,21.0000287,57.0036901,22.350627,114.1849161
2021,2021.0,Export,Oman,Iran,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",5934.0,,21.0000287,57.0036901,32.6475314,54.5643516
2021,2021.0,Export,Oman,Iraq,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",250720.0,,21.0000287,57.0036901,33.0955793,44.1749775
2021,2021.0,Export,Oman,Japan,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",23.0,,21.0000287,57.0036901,36.5748441,139.2394179
2021,2021.0,Export,Oman,Jordan,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",732078.0,,21.0000287,57.0036901,31.1667049,36.941628
2021,2021.0,Export,Oman,Lebanon,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",95669.0,,21.0000287,57.0036901,33.8750629,35.843409
2021,2021.0,Export,Oman,Libya,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2787526.0,,21.0000287,57.0036901,26.8234472,18.1236723
2021,2021.0,Export,Oman,Qatar,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",502322.0,,21.0000287,57.0036901,25.3336984,51.2295295
2021,2021.0,Export,Oman,Russian Federation,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1901.0,,21.0000287,57.0036901,64.6863136,97.7453061
2021,2021.0,Export,Oman,Saudi Arabia,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4000280.0,,21.0000287,57.0036901,25.6242618,42.3528328
2021,2021.0,Export,Oman,Singapore,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",3521.0,,21.0000287,57.0036901,1.357107,103.8194992
2021,2021.0,Export,Oman,Somalia,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",127765.0,,21.0000287,57.0036901,8.3676771,49.083416
2021,2021.0,Export,Oman,Spain,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",341570.0,,21.0000287,57.0036901,39.3260685,-4.8379791
2021,2021.0,Export,Oman,Sudan,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",50488.0,,21.0000287,57.0036901,14.5844444,29.4917691
2021,2021.0,Export,Oman,United Arab Emirates,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2584057.0,,21.0000287,57.0036901,24.0002488,53.9994829
2021,2021.0,Export,Oman,Egypt,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1105.0,,21.0000287,57.0036901,26.2540493,29.2675469
2021,2021.0,Export,Oman,Free Zones,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",78.0,,21.0000287,57.0036901,5.57675525,-0.1653113957934536
2021,2021.0,Export,Oman,Yemen,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1612496.0,,21.0000287,57.0036901,16.3471243,47.8915271
