yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1028846,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,859558,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1235700,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,12,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,867802,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3185,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,27388981,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,16655457,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,927,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,123758955,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,1449405,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,3949612,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,2758368,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,1665227,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,33904533,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,610380,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Mauritania, Mauritania,7833643,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,228290,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,2875580,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,4854187,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2553905,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,12940059,31.1728205,-7.3362482,,
