yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,381,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2015,33.8750629,35.843409,37.977378106878206,73.97804075806764
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,9700,33.8750629,35.843409,51.67568633314729,27.673469819741847
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,48255,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,3704,33.8750629,35.843409,19.569604022535763,12.47761721199581
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,40072,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,16043,33.8750629,35.843409,59.36075159783851,25.01346951967388
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,102454,33.8750629,35.843409,10.528384761701911,103.08333472012376
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,15981,33.8750629,35.843409,25.499703063807168,75.5024015339642
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2217,33.8750629,35.843409,40.12399607988535,20.742583178432696
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,588363,33.8750629,35.843409,6.06272746187266,22.727528470146083
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,49814,33.8750629,35.843409,26.42921218083572,52.86847103284948
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,140733,33.8750629,35.843409,47.92172048214207,7.866753258497997
2003,2003,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,3682961,33.8750629,35.843409,,
