yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",208298497,,,-36.8535712,174.7456809
2016,2016,Re-Export,Kuwait,Algeria,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1753828,,,28.0000272,2.9999825
2016,2016,Re-Export,Kuwait,Argentina,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",86257,,,-34.9964963,-64.9672817
2016,2016,Re-Export,Kuwait,Australia,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",440615,,,-24.7761086,134.755
2016,2016,Re-Export,Kuwait,Austria,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",12220,,,47.59397,14.12456
2016,2016,Re-Export,Kuwait,Bahrain,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",9303683,,,26.1551249,50.5344606
2016,2016,Re-Export,Kuwait,Bangladesh,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",17093,,,24.4769288,90.2934413
2016,2016,Re-Export,Kuwait,Belgium,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",5057676,,,50.6402809,4.6667145
2016,2016,Re-Export,Kuwait,Cameroon,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",28602,,,4.6125522,13.1535811
2016,2016,Re-Export,Kuwait,Canada,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",99924,,,61.0666922,-107.991707
2016,2016,Re-Export,Kuwait,Sri Lanka,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",51098,,,7.5554942,80.7137847
2016,2016,Re-Export,Kuwait,Chad,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",330,,,,
2016,2016,Re-Export,Kuwait,China,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",398561,,,35.000074,104.999927
2016,2016,Re-Export,Kuwait,Colombia,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",105663,,,4.099917,-72.9088133
2016,2016,Re-Export,Kuwait,Congo,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",26700,,,-2.9814344,23.8222636
2016,2016,Re-Export,Kuwait,Croatia,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",8270,,,,
2016,2016,Re-Export,Kuwait,Cyprus,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2428,,,34.9823018,33.1451285
2016,2016,Re-Export,Kuwait,Czechia,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",436,,,,
2016,2016,Re-Export,Kuwait,Benin,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",251,,,9.5293472,2.2584408
2016,2016,Re-Export,Kuwait,Denmark,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2339561,,,55.670249,10.3333283
2016,2016,Re-Export,Kuwait,Ecuador,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",20021,,,-1.3397668,-79.3666965
2016,2016,Re-Export,Kuwait,Finland,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2993,,,63.2467777,25.9209164
2016,2016,Re-Export,Kuwait,France,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",169131,,,46.603354,1.8883335
2016,2016,Re-Export,Kuwait,Germany,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1705660,,,51.1638175,10.4478313
2016,2016,Re-Export,Kuwait,Ghana,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",15876,,,8.0300284,-1.0800271
2016,2016,Re-Export,Kuwait,Greece,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",5958,,,38.9953683,21.9877132
2016,2016,Re-Export,Kuwait,"China, Hong Kong SAR",84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",4546464,,,22.350627,114.1849161
2016,2016,Re-Export,Kuwait,Indonesia,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",16428,,,-2.4833826,117.8902853
2016,2016,Re-Export,Kuwait,Iran,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",6962054,,,32.6475314,54.5643516
2016,2016,Re-Export,Kuwait,Iraq,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",3879101,,,33.0955793,44.1749775
2016,2016,Re-Export,Kuwait,Ireland,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",914836,,,52.865196,-7.9794599
2016,2016,Re-Export,Kuwait,Italy,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",829441,,,42.6384261,12.674297
2016,2016,Re-Export,Kuwait,Japan,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",410024,,,36.5748441,139.2394179
2016,2016,Re-Export,Kuwait,Jordan,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",4537422,,,31.1667049,36.941628
